Version:	0.100000
Fitness:	0.000000	0.102538
Sample:	1
PopSize:	1000
NoQTL:	1
Ploidy:	2
OptimizeVariance:	0.000527
Drift:	False
EnvVar:	0.012599
MutationScalar:	0.002100
MutationVar:	0.000026
Generations:	6500
ChangeFitnessSD:	5000	0.099119
MoveFitnessSD:	5000	1.815636
MoveType:	Phenotype
Seed:	821759058
PheotypeVar:	0.013126
Heritabitlity:	0.040184
StandardisePhenotype:	False
InitFitnessSD:	-1.000000
Generation	Phenotype Mean	Phenotype Ratio	Genotype Var	P Survived	Surviving Slope	Surviving Standardised Slope	w	
279	0.002103	0.018352	0.001176	644	4.576020	0.350594	0.228638	
280	-0.006355	-0.056780	0.001173	661	4.532024	0.343400	0.227992	
281	-0.002276	-0.018547	0.001230	651	4.639189	0.368184	0.239148	
282	-0.005392	-0.046428	0.001051	651	4.501802	0.342647	0.204373	
283	-0.006031	-0.051370	0.001039	652	4.513887	0.343948	0.201958	
284	-0.006363	-0.054891	0.000966	671	4.558321	0.355558	0.187814	
285	0.001606	0.013900	0.001000	653	4.531856	0.356516	0.194463	
286	-0.005745	-0.048116	0.001027	642	4.532868	0.335818	0.199689	
287	-0.001738	-0.014641	0.001069	644	4.562891	0.359309	0.207720	
288	-0.001584	-0.013738	0.001029	664	4.548879	0.343507	0.200018	
289	0.000782	0.006644	0.000990	643	4.608722	0.350639	0.192358	
290	-0.000789	-0.006873	0.001067	667	4.581333	0.354193	0.207513	
291	0.004211	0.035150	0.001134	661	4.515159	0.352988	0.220418	
292	0.003346	0.029676	0.001078	681	4.590581	0.357266	0.209509	
293	0.006148	0.050896	0.001044	639	4.639839	0.371376	0.202892	
294	0.000701	0.005745	0.001064	624	4.605852	0.360074	0.206869	
295	0.008477	0.072784	0.000958	637	4.486115	0.343418	0.186308	
296	-0.004572	-0.038957	0.000979	629	4.633856	0.360875	0.190297	
297	0.005315	0.046081	0.000995	676	4.594353	0.354860	0.193454	
298	-0.001025	-0.008730	0.000972	663	4.462916	0.356340	0.188865	
299	-0.002246	-0.019235	0.000914	683	4.599127	0.359831	0.177725	
300	0.001268	0.010654	0.000937	671	4.540259	0.341061	0.182067	
301	0.005770	0.048290	0.000920	650	4.564232	0.344663	0.178792	
302	0.011009	0.097780	0.000971	664	4.558896	0.339844	0.188754	
303	0.007236	0.063232	0.000877	646	4.528232	0.331975	0.170402	
304	0.001372	0.012007	0.000883	682	4.548209	0.353168	0.171715	
305	0.003589	0.030270	0.000914	647	4.646881	0.351941	0.177771	
306	0.010414	0.088942	0.000945	667	4.546104	0.345783	0.183644	
307	0.006442	0.056795	0.000929	677	4.530514	0.342305	0.180632	
308	0.009380	0.082649	0.000907	660	4.528005	0.337023	0.176288	
309	0.009154	0.079235	0.000919	650	4.558065	0.350575	0.178554	
310	0.012067	0.103576	0.001025	642	4.616048	0.352715	0.199208	
311	0.004794	0.040717	0.001062	654	4.552400	0.353917	0.206499	
312	0.007589	0.065703	0.001107	656	4.534107	0.329776	0.215198	
313	0.011453	0.095822	0.001079	657	4.574111	0.363439	0.209692	
314	0.006281	0.054136	0.001127	654	4.591919	0.355243	0.219017	
315	0.003812	0.031905	0.001019	640	4.510664	0.333122	0.198025	
316	0.009845	0.083875	0.001001	641	4.576188	0.343256	0.194623	
317	0.005977	0.052091	0.001021	671	4.524499	0.343042	0.198449	
318	0.001771	0.015091	0.001178	636	4.529889	0.338438	0.229021	
319	-0.001063	-0.009063	0.001041	633	4.507258	0.334915	0.202448	
320	0.003552	0.029923	0.001117	659	4.522209	0.364753	0.217207	
321	-0.002431	-0.020605	0.001079	675	4.589677	0.353997	0.209740	
322	-0.002086	-0.018072	0.001069	659	4.525799	0.348035	0.207850	
323	-0.001770	-0.014911	0.001112	658	4.389212	0.335161	0.216210	
324	-0.005414	-0.046092	0.001081	634	4.539840	0.337996	0.210198	
325	-0.005967	-0.049938	0.001080	654	4.629646	0.363586	0.209947	
326	-0.010988	-0.094833	0.001117	663	4.493468	0.333179	0.217071	
327	0.000252	0.002147	0.001194	653	4.488174	0.344611	0.232175	
328	-0.006406	-0.054631	0.001151	627	4.561591	0.350173	0.223832	
329	0.000296	0.002484	0.001181	650	4.599915	0.366101	0.229520	
